Text,Sentiment
este ajuste con nosotros si no mas recortes cierre de empresas mas paro y mas deficit para a si no,negative
un hombre al el que en con un la de,negative
un a la el cierre a sus y anuncia un ere a la,negative
una que y una que m,negative
a soraya s de de de la semana por por lo que da de la,negative
tanto para acabar en un de banca peor para familias y empresas en un,negative
en el de europa a diferencia de españa si dejan del en el de españa,negative
`` no son '' sobre como se esta cara al publico el gobierno rajoy soraya y los ministros no son el gobierno y los,negative
si el rey lo no deberia si el,negative
el nuevo presidente no soy,negative
como s deficit millones las mill social mill estado mill,negative
al dia en el que casi ha el `` '' dl estado de que nos va a despues d que se lo casi todo al dia en el el que el `` que nos va a que se se lo,negative
desde el senado `` el objetivo de deficit es '' desde el `` el de deficit,negative
ahi esta a urdangarin por sus en el noos via usuario en el via usuario,negative
la para decir que el del pp en comision oficiales es una de que tienen mi dice para decir decir que que el del pp es una,negative
rajoy su intervencion en el congreso el de la economia `` es peor de '' en el el congreso de la la economia,negative
los en han mas de de un en mas de,negative
y que mal el,negative
y la del de nos,negative
ahora que horas mis buenos dias son mitad mitad,negative
se calle la los sistema ellos no estan con el '' usuario para los que no de con el para los los que que no,negative
si el para usuario el mas y despues de meses usuario el despues de,negative
rt “ usuario congreso psoe esta mujer chacon se ha un de ” rt “ “ usuario se ha,negative
va en mi creo que ahora si puedo que un en mi creo que ahora si,negative
hay que “ usuario a los cuesta a cada ” hay que “ usuario a los,negative
mañana hay en el congreso de diputados para el decreto de recortes del gobierno nos minutos para en el el congreso del gobierno,negative
la no es entre los es d los que mas tienen el de la la del fuera a los mas no es d los los que de la a los los mas,negative
`` de y que el sistema nacional de nacional de,negative
esto no me nada veremos que dicen los mercados bruselas a rajoy los mercados a rajoy,negative
la pero no la luz pero no,negative
brutal en sobre entre victimas y `` ser la mujer de un que la de un '' la mujer de un que la de un,negative
otro mas antes de que se vaya zp de que que se,negative
la politica economica y e mas de la politica,negative
crisis de rt usuario usuario tu eres por encima de todo rt usuario usuario usuario,negative
« muy » el de la en la de de la en la,negative
de y en de la de la,negative
sobre el libro de camps “ la de que tras todo es por y '' sobre el,negative
sin sin y todo,negative
la del en las en las,negative
urdangarin implica a camps y en el noos el pp de cabeza para rajoy en el el pp,negative
el problema de a garzon de una del es que todos los que con gusto pero partido el problema problema de a garzon es que todos los,negative
las dos de la y de en de la,negative
las entre el y el y el,negative
en el gob con `` el de un partido no es quien la a un ministro '' en el `` el de un no es,negative
usuario `` en nos vamos a casi d las a de la '' usuario `` vamos a de la,negative
en tan con el sigue muy mou mou mou con el,negative
rt usuario el por en usuario usuario usuario usuario rt usuario usuario el usuario usuario usuario usuario usuario usuario,negative
subir la luz aqui como en,negative
espero que no sea ese el usuario usuario no llega a final de mesa lo mejor no tienen `` '' de que no usuario usuario final de '' de,negative
rt con el “ usuario al del incendio de que se a con el “ usuario que se,negative
hemos hablado con navarro sobre la de rubalcaba usuario sobre la,negative
rt usuario el `` '' del y lo como el `` rey de los recortes '' rt usuario el `` y lo como el el `` de los,negative
`` casi millones '' entre y `` sin control ni '' griñan y su trama,negative
el contra que los de las ya no son lo que pero lo que al es lo de la que los de las no son lo que lo que es lo lo de de la,negative
frio frio dicen pues a que a jugar el para hay que no ni ni que no,negative
que usuario a y de medios que cuando la a la en su que usuario a la en su,negative
`` la no para su '' se puede ser mas pues no en `` la '' se se puede,negative
eso “ usuario usuario que el gobierno a zp me parece cuando en el por españa ” “ usuario usuario usuario usuario que que el el gobierno me parece en el,negative
dice que la infanta si estaba en el noos dice que que la la infanta en el,negative
la mesa del congreso el de amaiur del congreso,negative
si la cosa no fuera tan seria seria para el psoe `` sabemos una crisis '' el psoe,negative
“ usuario los que el de españa son los que han por ver un partido de la copa de españa españa “ usuario los que de españa de la de españa,negative
las y d los politicos cada vez mas d si o estan en la que d su d los cada vez estan en en la,negative
estoy en la de la de s como un de sobre lo tiene mal en de la,negative
rajoy todo de cosas mientras habla amaiur de vez en cuando la cabeza y a muy poco muy,negative
van a esta,negative
ayer usuario en que el deficit en andalucia es del y hoy la dice que es del que el el deficit en andalucia y hoy dice que,negative
`` esto se '' dice el ministro guindos en de la reforma se al pero es buena '' dice de la la reforma,negative
a la es cuando te la de un a la de un,negative
increible rajoy dice que no porque la cara sobre la crisis cuando y donde dice que que no sobre la la crisis,negative
la en las de recortes y la reforma laboral la que nos lleva en a millones de en las y la la reforma reforma laboral que nos millones de,negative
años de corrupcion usuario,negative
este es el `` nuevo '' y de años despues las es el el ``,negative
no puede para la crisis no puede para la la crisis,negative
ante supremo evitar a españa d de y dl de las de las,negative
que los abogados a garzon de la de estado y que con el mundo es para si no fuera un que los a garzon el mundo si no,negative
ha muerto fraga pero los de no ni un dia de a uno de los de la un dia dia de uno de de los de la,negative
la cuesta de es la crisis es la la crisis,negative
se nos ha el una gran un abrazo para la y el para la y el,negative
un la de fraga de años en su casa de madrid de su en su,negative
el de en la otro de los de en la de los,negative
soraya de denuncia en el senado el en el de publicos millones de euros en el en el millones de,negative
andalucia a los presupuestos del usuario a los los presupuestos,negative
sobre la del pp sobre la del pp,negative
y por otro el psoe no cree que el sea un objetivo `` '' pero no dice lo seria ni como a el el psoe cree que que el pero no a el,negative
la respuesta en la calle al ataque brutal de la politica y economica a los va a `` un antes y un despues '' la respuesta en la la calle de la a los va a `` un,negative
rajoy hoy `` este año no va a ser '' y el deficit `` todo lo que '' no da cifras va a el deficit todo lo lo que '' no,negative
a que para que no se de donde congreso para que que no no se,negative
no he que el del congreso fuera he lo ya en usuario que rubalcaba no se sin mas que el del congreso en usuario usuario que no se,negative
en la calle `` esto va de y rajoy '' en la la calle,negative
donde esta urdangarin barcelona le os lo en usuario en usuario,negative
`` el peor es el politico no no habla no de los `` el es el de los,negative
y uno de de usuario habla al de `` el en casa '' es su casa que uno de de usuario de ``,negative
pp en el semana tras semana reforma laboral `` de de trabajo '' congreso en el reforma laboral,negative
vaya las en adolescentes no con la ley se de que no con la la ley de que,negative
los recortes del psoe en andalucia en mi blog del psoe en andalucia en mi mi blog,negative
una del nuevo ministro de cuando a el desde el de de ministro de a el desde el,negative
el no es es se con impuestos y luego de no es,negative
pues me parece muy poco hablar tan mal “ usuario una de decir `` '' por `` '' si en ” me parece “ usuario,negative
durante la mañana de hoy han los medios y las en la del incendio en la,negative
los abogados del de por el recorte por el,negative
la de deberia ser una para,negative
unos la crisis para el recorte y la de publicos y otras para la de la economia la crisis y la para la de la la economia,negative
rt usuario el pacto entre en ha publica pacto en politica rt usuario usuario el,negative
mas de personas de cada año mas de,negative
el gobierno que sus de deficit son las a la de el gobierno de deficit a la,negative
nunca mejor `` para '',negative
los ministros de economia de la zona euro han el para evitar que se millones euros de la,negative
el problema de la de urdangarin es la respuesta de su el a lo mejor si el problema problema de de la es la la respuesta a lo,negative
lo de `` españa nos esta mas '' de es lo de de `` '' de,negative
los minijobs me un no son una el problema de españa no esta en la reforma de su laboral los minijobs no son el problema problema de de españa esta en en la la reforma,negative
dice elena que hombre de y la de contra griñan `` el '' alguien se lo cree `` el se lo,negative
el en la empleo en el caso ere tambien en otras en la en el,negative
el congreso y los son cosas de mitad de pero todo va cada vez mas y peor el congreso y los cada vez,negative
una cosa es jugar y otra un de,negative
rt usuario rt usuario `` nosotros que o '' barcelona rt usuario rt usuario usuario ``,negative
impuestos para el de las las de de cada para el el de de las,negative
m los que quieren d en la calle y de abierto los que quieren de las todos los que en la la calle y de los que de las,negative
la de el es la mejor de que hay que cambiar la ley del y mas la de el es la de que que hay hay que la ley,negative
tras la huelga de hoy mañana los presupuestos del de la huelga los presupuestos,negative
la sentencia y todos los en al caso castillo la justicia no es igual para ya la sentencia todos los la justicia no es,negative
y a para y,negative
usuario que los `` un '' a la de la junta en la que los `` un '' a a la de la la junta en la,negative
las tambien a las a las,negative
no puedo ni no puedo no puedo mas de la cuenta ni hacer ni a lo no puedo no puedo no puedo mas de de la a lo,negative
en y ante la violencia x de '' a '' ante la la violencia,negative
un dia mas en la de hoy y de congreso y senado y un dia en la,negative
rt usuario `` usuario el pais el supremo a elena salgado por un que no rt usuario usuario `` `` usuario usuario el el pais que no,negative
el pp se como el en meses han los impuestos han el despido han la ley de el pp como el la ley,negative
para,negative
social para los el se en madrid y semana de la en barcelona de la,negative
la sentencia de y es para la de la politica del pp y para la y el de la sentencia para la de la la politica del pp para la y el,negative
en junta pp el congreso nacional de pero la comision la nacional de,negative
usuario en este por mas que algunos los no ha hasta que se ha y aun es mas que que se se ha,negative
montoro cree que no tiene que con las por eso se puede alguien le dira que aqui si no cree que no tiene se puede si no,negative
“ usuario han durante el año en “ usuario,negative
usuario `` la primera reforma '' que la junta es `` decir la verdad '' usuario `` `` la '' que la junta la verdad,negative
el debate donde el presidente iba a la cara para su de impuestos que esta rajoy el presidente,negative
si a un sin por un despido dira que si si lo como tambien,negative
el pueblo d españa pide rt usuario una para de es la rt usuario,negative
`` que a la violencia '' `` falta al respeto '' `` implica o ataque '' a que se guindos `` que a la la violencia '' a que se,negative
el supremo en publica el de la a y a de el de,negative
ahora despues de tengo que que despues de,negative
la de la d del deficit de la entre y hoy es un a la de la de la y hoy es un a la,negative
griñan no se puede a las elecciones porque no que nos no se se puede a las las elecciones que nos,negative
no tiene « » para denunciar a los de los ere no tiene a los de los los ere,negative
y la del y la,negative
y que mala,negative
es verdad que el por la se pero se mas si es verdad verdad que que el,negative
pues rt usuario usuario ahi se el de `` '' de quien ese rt usuario usuario usuario de `` '' de,negative
ya sabemos por donde puede la reforma laboral del pp la el trabajo y la los minijobs la reforma reforma laboral del pp y la los minijobs,negative
rt “ usuario policia en con a que de en rt “ “ usuario,negative
es lo que yo “ usuario el chacon ” es lo lo que “ usuario,negative
usuario `` quien es el del psoe la respuesta esta en mi blog ha dos '' era una usuario `` es el del psoe la respuesta esta en en mi mi blog,negative
un de los niños de los,negative
a dos por españoles en a usuario,negative
personas entre las de un en via usuario de un via usuario,negative
ministros de rajoy cifras o del objetivo de deficit sobre el en un dia guindos montoro y de rajoy de deficit sobre el en un un dia,negative
uno de mis en tengo mas de dos dias de uno de mas de,negative
la bañez se al del de que segun es que en otras que en,negative
`` d '' mi sobre la d los a los en mañana en usuario sobre la d los a los mañana en en usuario,negative
por no que se de mi que veremos quien se de quien en el futuro en el,negative
por que los medios de se han de oficiales no que recortar el gasto publico quien lo denuncia por que que los,negative
usuario usuario a su quienes estan en la a la calle siempre que d eta d usuario usuario a su estan en en la a la la calle,negative
de o de la de de la,negative
asi la `` '' las « » por de en españa via usuario via usuario,negative
rt usuario ante las de rajoy el m a alguien que te que no con todo rt usuario de rajoy que no,negative
las a a hoy en,negative
usuario el congreso de dentro de dos semanas sera un debate de con te usuario el el congreso,negative
este no se no se,negative
rajoy hara del sector publico de d publicos gasto,negative
y hoy primera del año de las victimas del de valencia y hoy de las de valencia,negative
no puedo decir mas estoy lo usuario y hoy lo todos que de salgado y rubalcaba no puedo y hoy,negative
la si el tras el partido del un si el,negative
a de que `` no hacerlo '' usuario banca de y para de que,negative
no entiendo se ha el lo puede mal al final se ha,negative
el gracias zp en este esta que entre y de zapatero,negative
gobierno de en el el de se ahora al por el psoe en el por el el psoe,negative
camps ha hoy a les tras meses sin hacerlo le lo de la reforma laboral sobre lo de de la la reforma reforma laboral,negative
dice chacon que españa tiene y es verdad pero cuando en no un un que españa es verdad,negative
de guindos de que no habra sobre el deficit hasta de guindos de que que no sobre el el deficit,negative
mas va l diferencia y mientras se ante ls m en,negative
vamos que chacon el de las de rubalcaba a las de la para las de las a las de la,negative
que en el año cuando subir impuestos era `` un '' el deficit era del hoy esta al que en en el `` un el deficit,negative
usuario usuario `` falta el respeto '' e `` '' a la del caso ere al decir que esta `` '' usuario usuario usuario `` '' a a la decir que,negative
los dejan la,negative
el pp la y la de guindos anuncia de en al ue en y educacion el pp de guindos,negative
la trama de los eres la trama trama de de los,negative
usuario pues es un me gusto mucho mas es un,negative
mas que `` economia no puede el de '' mas que no puede,negative
espero no acabar igual “ usuario no he pero el libro de en su y la de ” “ usuario en su y la,negative
por que no se contra respuesta porque en la de ese se por que no se en la,negative
a rajoy se le ante un abierto que habra una huelga cuando se su reforma laboral a rajoy reforma laboral,negative
la calle nos esta para decir que no nos ante el brutal ataque a los derechos y la calle para decir decir que que no a los,negative
el de `` '' se dicen algunos de `` '' se,negative
va a en el por de la contra garzon por los de los de va a de la de los,negative
que os parece que usuario sus de para que a sus se les las parece que que usuario para que,negative
por lo que madrid para y lo que lo que y lo lo que,negative
los y los te hace perder psoe y los,negative
era fuera de yo creo que este es creo que,negative
que lo si es la que aun adelante,negative
no como que son en dice x d,negative
de policial a la del gobierno en valencia usuario a la del gobierno,negative
el gobierno pacto sobre deficit publico pero la diferencia es la entre deficit el gobierno es la,negative
que tiene rt usuario usuario `` yo no '' a d usuario rt usuario usuario usuario usuario `` '' a,negative
a los al la de una mejor madrid a los,negative
las d al gobierno que tiene no que se cumplan objetivos d deficit ni este ni año y d empleo en que se,negative
la,negative
la con la que las es al miedo a perder su dinero con la,negative
las cifras de rajoy millones del gobierno de la millones no las cifras de rajoy del gobierno de la,negative
la sentencia del caso marta del castillo es una marta la sentencia marta del del castillo es una,negative
es lo de de verdad “ usuario usuario muchos lo pero mientras ” lo de de verdad “ usuario usuario usuario,negative
la prima de riesgo de españa en la a de españa en la,negative
las mechas de que cosa mas las mechas las mechas las mechas,negative
si si es este a soy,negative
con una que a lo el psoe con el no a todo en la que nos a lo el psoe con el en la que nos,negative
presupuesto del congreso para menos que en el del congreso que en en el,negative
tras leer el a rajoy en el como dicen unos de rajoy sus a rajoy en el de rajoy,negative
que del pueblo al x y,negative
malas noticias para los y malas noticias para los,negative
pero que poco me poco no nada,negative
`` usuario libro en la `` que la te '' hablar de tu '' gente con gusto `` usuario en la `` que que la,negative
en madrid el presupuesto de y empleo ya se ha un no mas se ha,negative
para los mercados se trata de cambiar de presidente aunque sea a mitad del para nosotros se trata de cambiar de para los los mercados se trata trata de se trata trata de,negative
dice que empresas y familias estan en y no es verdad otro recorte de mill mas ajuste dice que estan en y no no es es verdad,negative
a los años la y a los,negative
de los el su cierre durante semanas de los,negative
y mientras tanto el problema se año tras año,negative
la trama de los eres la trama trama de de los,negative
hace años que españa en el euro pero usuario sigue las cifras a de es que españa en el las cifras,negative
por que le tienen que a las los que estan los no lo entiendo de verdad que no lo entiendo por que a las los que no lo de verdad verdad que que no no lo,negative
`` si un esta el sistema esta '',negative
la lo que griñan ayer al deficit la a usuario griñan lo que,negative
no pero cada vez que se un se una luz un abrazo a todos los de publico cada vez vez que que se todos los,negative
de y `` si españa hace educacion hara educacion '',negative
vacio,negative
el pp con la cifra de deficit y hoy con un juicio a los politicos juicio a el pp con la de deficit y hoy a los los politicos,negative
usuario ministro no es a no ser que del `` '' españa barcelona no es,negative
la del de es una mas d lleva el `` '' y d no lo es una el `` no lo,negative
la se y se del decreto del gobierno vasco que a victimas y del gobierno,negative
la llega tambien a la justicia os un caso increible usuario a la la justicia,negative
nuevo con en el pais vasco mientras eta el es en el el pais,negative
denuncia la del pasado de españa de españa,negative
mas el de por para su,negative
chacon estaba en el gobierno zapatero parece como si no un en su vida en el el gobierno si no en su,negative
ministros sin que usuario me y no soy el quienes pp hace muchos años que usuario usuario me y no,negative
el de la casa un para el gobierno abierto para el el gobierno,negative
desde luego “ usuario pasado no futuro ” por eso es “ usuario,negative
las son para en “ usuario me estoy en leer el de usuario pero creo que en ” “ usuario usuario me de usuario creo que que en,negative
buenos dias cuando los ahi y ellos con,negative
el futuro nos y el pasado nos he ahi porque se nos el y el,negative
habra mañana `` '' ese ministro de que el como ministro de justicia ministro de ministro de de justicia,negative
libro usuario `` estoy con la pero tengo esperanza `` usuario `` con la,negative
mi mañana en usuario `` una huelga de que la sobre rajoy '' mañana en en usuario usuario ``,negative
usuario por que e a este de empleo donde esta ese dinero se las personas con por que,negative
los politicos horas un como que el esta mas d la que los ni es los politicos que el que los,negative
una segun la rubalcaba y que como diputados psoe via usuario via usuario,negative
ahora que se la corrupcion politica que fraga nunca se en de sus muchos cargos que se,negative
el pp el y las de los para adelante a la ley de otro al el pp de los la ley,negative
a a los os algo asi en españa usuario a los,negative
habra que los para esta y no no es que vaya a ver el y no no es es que a ver,negative
aunque tambien hay que decir que si lo hecho salgado el pp la por subir impuestos cosas de la politica hay que decir que el pp de la la politica,negative
es muy que la infanta elena no la que le han hecho a su de la verdad que la la infanta a su la verdad,negative
los tienen buenos si que mas y no te recorte y huelga en,negative
en el blog en el,negative
viva usuario,positive
muchas gracias “ usuario el libro de usuario me ha desde la primera muy recomendable como regalo de ” “ usuario usuario el el libro de usuario usuario me me ha la primera muy recomendable,positive
espero que os espero que que os,positive
el usuario cerca el por malaga elcambioandaluz el usuario,positive
